Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD
Malik Davis,RB,DAL,0,0,0,382.7,2.8,8.7,67.3,0.2
Keaton Mitchell,RB,LAC,0,0,0,395.4,1.9,11.5,82.7,0.2
Adam Randall,RB,BAL,0,0,0,281,2,10.3,103.4,1.1
MarShawn Lloyd,RB,GB,0,0,0,286,2.1,12.1,85.2,0.6
Chris Brooks,RB,GB,0,0,0,323.2,1.3,15.4,107.6,0.3
Kimani Vidal,RB,LAC,0,0,0,251,1.6,11.9,104.3,0.7
James Conner,RB,ARI,0,0,0,155.5,1.5,18,131.5,1
Emanuel Wilson,RB,SEA,0,0,0,289.5,1.7,7.7,52.1,0
Jaylen Wright,RB,MIA,0,0,0,299.6,1.5,7.2,52.4,0.1
Puka Nacua,WR,LAR,0,0,0,107.3,1.6,125.5,"1,645.70",9.4
Jaxon Smith-Njigba,WR,SEA,0,0,0,30.6,0.1,119.4,"1,673.80",10.8
Ja'Marr Chase,WR,CIN,0,0,0,20,0.1,123.7,"1,530.30",10.3
Amon-Ra St. Brown,WR,DET,0,0,0,10.7,0.1,116,"1,397.90",10.7
Drake London,WR,ATL,0,0,0,0,0,103,"1,339.30",10.7
Rashee Rice,WR,KC,0,0,0,38.3,1.3,100.1,"1,090.30",11
CeeDee Lamb,WR,DAL,0,0,0,18.8,0.1,103.1,"1,357.90",7.3
George Pickens,WR,DAL,0,0,0,-0.5,0,87.1,"1,251.60",9.1
A.J. Brown,WR,NE,0,0,0,0,0,89.5,"1,272.90",8
Justin Jefferson,WR,MIN,0,0,0,8.3,0.1,100.4,"1,308.50",6.7
Nico Collins,WR,HOU,0,0,0,12.4,0.5,84.3,"1,225.50",7.4
Chris Olave,WR,NO,0,0,0,0,0,94.2,"1,198.70",8.2
Zay Flowers,WR,BAL,0,0,0,58.6,0.7,83.4,"1,194.30",6.8
Tee Higgins,WR,CIN,0,0,0,0,0,73.6,995.5,9.7
Emeka Egbuka,WR,TB,0,0,0,10.9,0.1,68.8,"1,096.70",7.6
Davante Adams,WR,LAR,0,0,0,0,0,67.8,933.8,10.3
Malik Nabers,WR,NYG,0,0,0,11.2,0.1,75.1,998.8,8.8
Tetairoa McMillan,WR,CAR,0,0,0,0,0,78.4,"1,141.90",6.6
Jameson Williams,WR,DET,0,0,0,42,0.8,63.6,"1,053.80",6.3
Rome Odunze,WR,CHI,0,0,0,2,0,62.5,997.3,8.7
Garrett Wilson,WR,NYJ,0,0,0,6.4,0,96.2,"1,082.30",7.2
DeVonta Smith,WR,PHI,0,0,0,0,0,90.2,"1,140.00",6
Alec Pierce,WR,IND,0,0,0,0,0,63,"1,065.30",7.2
Terry McLaurin,WR,WAS,0,0,0,0.5,0,74.3,"1,004.40",7.9
DJ Moore,WR,BUF,0,0,0,58.5,0.7,68.1,872.4,7.5
Courtland Sutton,WR,DEN,0,0,0,0,0,72.2,930.7,7.8
Ladd McConkey,WR,LAC,0,0,0,0,0,77.3,987.8,6.6
Jaylen Waddle,WR,DEN,0,0,0,18.6,0,75.9,982.5,6
Luther Burden III,WR,CHI,0,0,0,40.8,0.2,73.4,973.4,5.6
Christian Watson,WR,GB,0,0,0,12.1,0.1,51.5,861.4,7.6
DK Metcalf,WR,PIT,0,0,0,5,0.5,62.9,914.2,6.1
Marvin Harrison Jr.,WR,ARI,0,0,0,0,0,68.8,952,6
Mike Evans,WR,SF,0,0,0,0,0,63.1,899.5,6.6
Parker Washington,WR,JAC,0,0,0,20.4,0.1,62.4,881.5,6.1
Brian Thomas Jr.,WR,JAC,0,0,0,27.1,0.6,55.5,848.5,5.5
Quentin Johnston,WR,LAC,0,0,0,9.4,0,55.4,780.4,7.3
Jakobi Meyers,WR,JAC,0,0,0,25,0.1,72.4,830.2,5.6
Jordan Addison,WR,MIN,0,0,0,46.2,0.6,55.2,751.5,5.6
Carnell Tate,WR,TEN,0,0,0,4.5,0,67,920.6,4.3
Jordyn Tyson,WR,NO,0,0,0,5,0,64.2,892.7,4.5
Xavier Worthy,WR,KC,0,0,0,111,0.8,54.2,715.2,4.3
Jayden Reed,WR,GB,0,0,0,95.9,0.2,61.2,729.2,4.7
Ricky Pearsall,WR,SF,0,0,0,21.2,0.1,60.2,832,3.9
Makai Lemon,WR,PHI,0,0,0,7,0,58.3,821.3,4.7
Chris Godwin Jr.,WR,TB,0,0,0,0.5,0,67.1,770.5,5.3
Michael Wilson,WR,ARI,0,0,0,1,0,66.5,805.4,4.6
Wan'Dale Robinson,WR,TEN,0,0,0,14.2,0.1,85.9,852.7,3.5
Romeo Doubs,WR,NE,0,0,0,0,0,57.8,746.9,5.5
Michael Pittman Jr.,WR,PIT,0,0,0,0,0,82.7,767,4.9
Calvin Ridley,WR,TEN,0,0,0,27.5,0.6,48.1,785.4,3.3
Matthew Golden,WR,GB,0,0,0,40.9,0.1,55.4,746.4,3.9
Khalil Shakir,WR,BUF,0,0,0,8.2,0.1,72.6,739.6,4.4
Rashid Shaheed,WR,SEA,0,0,0,88.8,0.3,46.4,698.7,3.2
John Metchie III,WR,CAR,0,0,0,-4,0,65,616,6
Theo Wease Jr.,WR,MIA,0,0,0,8,0,48,685,5
Josh Downs,WR,IND,0,0,0,6.4,0,76.8,715.3,4.3
Jalen Coker,WR,CAR,0,0,0,0,0,57.4,694.2,4.6
Rashod Bateman,WR,BAL,0,0,0,0,0,38.4,594.4,6
Tre Tucker,WR,LV,0,0,0,52.9,0.2,50.1,633.5,3.8
Tank Dell,WR,HOU,0,0,0,48.8,0.1,50,632.7,3.8
Jerry Jeudy,WR,CLE,0,0,0,2,0,54.2,746.8,2.9
KC Concepcion,WR,CLE,0,0,0,22.4,0.1,55.7,707.8,3.1
Jayden Higgins,WR,HOU,0,0,0,0,0,49.3,608.7,4.7
Jalen McMillan,WR,TB,0,0,0,26.8,0.1,46.6,606.8,3.9
Jauan Jennings,WR,MIN,0,0,0,0,0,48.7,557,5.2
Jalen Nailor,WR,LV,0,0,0,8.5,0,42,566.4,4.4
Antonio Williams,WR,WAS,0,0,0,18.7,0.1,44.4,599.6,3.6
Cooper Kupp,WR,SEA,0,0,0,1.5,0,47.4,584.3,3.4
Denzel Boston,WR,CLE,0,0,0,5,0,48.8,612.5,2.9
Adonai Mitchell,WR,NYJ,0,0,0,11.2,0.1,38.5,563.9,3.3
Omar Cooper Jr.,WR,NYJ,0,0,0,12.5,0.1,46.3,550.3,3.3
Trey McBride,TE,ARI,0,0,0,0,0,113.4,"1,074.10",6.8
Brock Bowers,TE,LV,0,0,0,0,0,93.2,993.1,7.8
Colston Loveland,TE,CHI,0,0,0,0,0,80.4,949.4,7
Tyler Warren,TE,IND,0,0,0,0,0,85.8,888.3,5.6
Dallas Goedert,TE,PHI,0,0,0,0,0,69.2,720.4,8.3
George Kittle,TE,SF,0,0,0,0,0,73,826.9,6.4
Kyle Pitts Sr.,TE,ATL,0,0,0,0,0,81.2,895.6,5.1
Tucker Kraft,TE,GB,0,0,0,0,0,59.5,771.5,7
Sam LaPorta,TE,DET,0,0,0,0,0,75.2,846.9,5.7
Harold Fannin Jr.,TE,CLE,0,0,0,0,0,79,823.2,5.6
Isaiah Likely,TE,NYG,0,0,0,0,0,66.4,790.8,5.6
Travis Kelce,TE,KC,0,0,0,0,0,75.8,791,5.2
Dalton Kincaid,TE,BUF,0,0,0,0,0,59.7,730.4,5.7
Mark Andrews,TE,BAL,0,0,0,0,0,57,589.4,8.1
Hunter Henry,TE,NE,0,0,0,0,0,56.9,665,5.6
Jake Ferguson,TE,DAL,0,0,0,0,0,75.7,618,6.4
Brenton Strange,TE,JAC,0,0,0,0,0,64.5,701.1,4.5
Juwan Johnson,TE,NO,0,0,0,0,0,66.7,750.9,3.4
Kenyon Sadiq,TE,NYJ,0,0,0,0,0,57.1,609.5,5.2
Dalton Schultz,TE,HOU,0,0,0,0,0,65.3,621.6,3.6
Terrance Ferguson,TE,LAR,0,0,0,0,0,34.2,508.1,5
Pat Freiermuth,TE,PIT,0,0,0,0,0,52.9,554.9,3.9
Cade Otton,TE,TB,0,0,0,0,0,57.6,592,3.2
T.J. Hockenson,TE,MIN,0,0,0,0,0,66.3,577,3.4
Oronde Gadsden II,TE,LAC,0,0,0,0,0,47.2,587.9,3.4
AJ Barner,TE,SEA,0,0,0,0,0,45.9,452.7,5.3
Greg Dulcich,TE,MIA,0,0,0,0,0,53.1,606.4,2.8
Chig Okonkwo,TE,WAS,0,0,0,0,0,52.4,575.4,2.6
Mike Gesicki,TE,CIN,0,0,0,0,0,44.6,467.2,3.8
David Njoku,TE,LAC,0,0,0,0,0,37.3,370.8,4.6
Gunnar Helm,TE,TEN,0,0,0,0,0,50.9,437.1,3.2
Evan Engram,TE,DEN,0,0,0,0,0,51.7,466.2,2.6
Colby Parkinson,TE,LAR,0,0,0,0,0,34.5,366.6,4.3
Theo Johnson,TE,NYG,0,0,0,0,0,29.5,331.5,3.3
Dawson Knox,TE,BUF,0,0,0,0,0,30,329.1,2.9
Mason Taylor,TE,NYJ,0,0,0,0,0,41.8,345.7,2.6
Tyler Higbee,TE,LAR,0,0,0,0,0,27.6,327.2,2.6
Michael Mayer,TE,LV,0,0,0,0,0,38.4,355.9,1.7
Darnell Washington,TE,PIT,0,0,0,0,0,33,342.6,1.9
Ja'Tavion Sanders,TE,CAR,0,0,0,0,0,32.4,269.8,2
